code;term;term_abbrevation;description;is_preferred;is_axis;is_mainclass;relation;association_kind;association_type;association_type_reverse;crossmapping_csv_id;metadata_DDD-INFO
A02BX50;Andere Ulkustherapeutika, Kombinationen exkl. Psycholeptika;;;1;0;0;A02BX;2;is part of;is parent of;;
A02BX51;Carbenoxolon, Kombinationen exkl. Psycholeptika;;;1;0;0;A02BX;2;is part of;is parent of;;
A02BX62;Bismutsubnitrat, Kombinationen exkl. Psycholeptika;;;1;0;0;A02BX;2;is part of;is parent of;;
A02BX63;Alginsäure, Kombinationen;;;1;0;0;A02BX;2;is part of;is parent of;;Standarddosis: 10 Tabletten oder 50 ml Mixtur 
A02BX70;Andere Ulkustherapeutika, Kombinationen mit Psycholeptika;;;1;0;0;A02BX;2;is part of;is parent of;;
A02BX71;Carbenoxolon, Kombinationen mit Psycholeptika;;;1;0;0;A02BX;2;is part of;is parent of;;
A02BX77;Gefarnat, Kombinationen mit Psycholeptika;;;1;0;0;A02BX;2;is part of;is parent of;;
A02X;ANDERE MITTEL BEI SÄURE BEDINGTEN ERKRANKUNGEN;;;1;0;0;A02;2;is part of;is parent of;;
A02XA;Andere Mittel bei Säure bedingten Erkrankungen;;;1;0;0;A02X;2;is part of;is parent of;;
A02XA01;Kälberblutextrakt;;;1;0;0;A02XA;2;is part of;is parent of;;
A02XA03;Guajazulen;;;1;0;0;A02XA;2;is part of;is parent of;;
A02XA52;Benzocain, Kombinationen;;;1;0;0;A02XA;2;is part of;is parent of;;
A02XA53;Guajazulen, Kombinationen;;;1;0;0;A02XA;2;is part of;is parent of;;
A02XH;Andere homöopathische und anthroposophische Mittel bei Säure bedingten Erkrankungen;;;1;0;0;A02X;2;is part of;is parent of;;
A02XH01;Nux vomica;;;1;0;0;A02XH;2;is part of;is parent of;;
A02XH20;Kombinationen;;;1;0;0;A02XH;2;is part of;is parent of;;
A02XH50;Kombinationen mit anderen Mitteln;;;1;0;0;A02XH;2;is part of;is parent of;;
A02XP;Andere pflanzliche Mittel bei Säure bedingten Erkrankungen;;;1;0;0;A02X;2;is part of;is parent of;;
A02XP30;Kombinationen;;;1;0;0;A02XP;2;is part of;is parent of;;
A03;MITTEL BEI FUNKTIONELLEN GASTROINTESTINALEN STÖRUNGEN;;;1;0;0;A;2;is part of;is parent of;;
A03A;MITTEL BEI FUNKTIONELLEN GASTROINTESTINALEN STÖRUNGEN;;;1;0;0;A03;2;is part of;is parent of;;
A03AA;Synthetische Anticholinergika, Ester mit tertiären Aminogruppen;;;1;0;0;A03A;2;is part of;is parent of;;
A03AA01;Oxyphencyclimin;;;1;0;0;A03AA;2;is part of;is parent of;;20 mg O
A03AA03;Camylofin;;;1;0;0;A03AA;2;is part of;is parent of;;0,2 g O,R
A03AA04;Mebeverin;;;1;0;0;A03AA;2;is part of;is parent of;;0,4 g O 
A03AA05;Trimebutin;;;1;0;0;A03AA;2;is part of;is parent of;;0,6 g O
A03AA06;Rociverin;;;1;0;0;A03AA;2;is part of;is parent of;;
A03AA07;Dicycloverin;;;1;0;0;A03AA;2;is part of;is parent of;;80 mg O,P
A03AA08;Dihexyverin;;;1;0;0;A03AA;2;is part of;is parent of;;
A03AA09;Difemerin;;;1;0;0;A03AA;2;is part of;is parent of;;
A03AA30;Piperidolat;;;1;0;0;A03AA;2;is part of;is parent of;;
A03AA31;Phenamazid;;;1;0;0;A03AA;2;is part of;is parent of;;
A03AB;Synthetische Anticholinergika, quartäre Ammonium-Verbindungen;;;1;0;0;A03A;2;is part of;is parent of;;
A03AB01;Benzilon;;;1;0;0;A03AB;2;is part of;is parent of;;70 mg O
A03AB02;Glycopyrronium;;;1;0;0;A03AB;2;is part of;is parent of;;3 mg O,P,R
A03AB03;Oxyphenonium;;;1;0;0;A03AB;2;is part of;is parent of;;25 mg O
A03AB04;Penthienat;;;1;0;0;A03AB;2;is part of;is parent of;;15 mg O
A03AB05;Propanthelin;;;1;0;0;A03AB;2;is part of;is parent of;;60 mg O,P
A03AB06;Otiloniumbromid;;;1;0;0;A03AB;2;is part of;is parent of;;
A03AB07;Methanthelinium;;;1;0;0;A03AB;2;is part of;is parent of;;0,15 g O
A03AB08;Tridihexethyl;;;1;0;0;A03AB;2;is part of;is parent of;;0,125 g O
A03AB09;Isopropamid;;;1;0;0;A03AB;2;is part of;is parent of;;10 mg O
A03AB10;Hexocyclium;;;1;0;0;A03AB;2;is part of;is parent of;;0,15 g O
A03AB11;Poldin;;;1;0;0;A03AB;2;is part of;is parent of;;12 mg O
A03AB12;Mepenzolat;;;1;0;0;A03AB;2;is part of;is parent of;;0,1 g O
A03AB13;Bevonium;;;1;0;0;A03AB;2;is part of;is parent of;;0,2 g O
A03AB14;Pipenzolat;;;1;0;0;A03AB;2;is part of;is parent of;;20 mg O
A03AB15;Diphemanil;;;1;0;0;A03AB;2;is part of;is parent of;;
A03AB16;(2-Benzhydryloxyethyl)diethylmethylammoniumiodid;;;1;0;0;A03AB;2;is part of;is parent of;;0,3 g O
A03AB17;Tiemoniumiodid;;;1;0;0;A03AB;2;is part of;is parent of;;
A03AB18;Prifiniumbromid;;;1;0;0;A03AB;2;is part of;is parent of;;
A03AB19;Timepidiumbromid;;;1;0;0;A03AB;2;is part of;is parent of;;
A03AB20;Trospium;;;1;0;0;A03AB;2;is part of;is parent of;;
A03AB21;Fenpiverinium;;;1;0;0;A03AB;2;is part of;is parent of;;
A03AB53;Oxyphenonium, Kombinationen;;;1;0;0;A03AB;2;is part of;is parent of;;
A03AC;Synthetische Spasmolytika, Amide mit tertiären Aminen;;;1;0;0;A03A;2;is part of;is parent of;;
A03AC02;Dimethylaminopropionylphenothiazin;;;1;0;0;A03AC;2;is part of;is parent of;;
A03AC04;Nicofetamid;;;1;0;0;A03AC;2;is part of;is parent of;;
A03AC05;Tiropramid;;;1;0;0;A03AC;2;is part of;is parent of;;
A03AD;Papaverin und Derivate;;;1;0;0;A03A;2;is part of;is parent of;;
A03AD01;Papaverin;;;1;0;0;A03AD;2;is part of;is parent of;;0,1 g O,P
A03AD02;Drotaverin;;;1;0;0;A03AD;2;is part of;is parent of;;0,1 g O,P
A03AD30;Moxaverin;;;1;0;0;A03AD;2;is part of;is parent of;;50 mg O
A03AE;Serotonin-Rezeptor-Antagonisten;;;1;0;0;A03A;2;is part of;is parent of;;
A03AE01;Alosetron;;;1;0;0;A03AE;2;is part of;is parent of;;1 mg O
A03AE03;Cilansetron;;;1;0;0;A03AE;2;is part of;is parent of;;
A03AH;Andere homöopathische und anthroposophische Mittel bei funktionellen gastrointestinalen Störungen;;;1;0;0;A03A;2;is part of;is parent of;;
A03AH01;Carum Carvi;;;1;0;0;A03AH;2;is part of;is parent of;;
A03AH10;Verschiedene;;;1;0;0;A03AH;2;is part of;is parent of;;
A03AH20;Kombinationen;;;1;0;0;A03AH;2;is part of;is parent of;;
A03AP;Andere pflanzliche Mittel bei funktionellen gastrointestinalen Störungen;;;1;0;0;A03A;2;is part of;is parent of;;
A03AP01;Pfefferminzblätter;;;1;0;0;A03AP;2;is part of;is parent of;;
A03AP02;Kamillenblüten;;;1;0;0;A03AP;2;is part of;is parent of;;
A03AP03;Fenchelfrüchte;;;1;0;0;A03AP;2;is part of;is parent of;;
A03AP04;Melissenblätter;;;1;0;0;A03AP;2;is part of;is parent of;;
A03AP11;Sonstige;;;1;0;0;A03AP;2;is part of;is parent of;;
A03AP30;Kombinationen;;;1;0;0;A03AP;2;is part of;is parent of;;
A03AX;Andere Mittel bei funktionellen gastrointestinalen Störungen;;;1;0;0;A03A;2;is part of;is parent of;;
A03AX01;Fenpipran;;;1;0;0;A03AX;2;is part of;is parent of;;
A03AX02;Diisopromin;;;1;0;0;A03AX;2;is part of;is parent of;;
A03AX03;Chlorbenzoxamin;;;1;0;0;A03AX;2;is part of;is parent of;;0,15 g O
A03AX04;Pinaverium;;;1;0;0;A03AX;2;is part of;is parent of;;0,15 g O
A03AX05;Fenoverin;;;1;0;0;A03AX;2;is part of;is parent of;;
A03AX06;Idanpramin;;;1;0;0;A03AX;2;is part of;is parent of;;
A03AX07;Proxazol;;;1;0;0;A03AX;2;is part of;is parent of;;
A03AX08;Alverin;;;1;0;0;A03AX;2;is part of;is parent of;;
A03AX09;Trepibuton;;;1;0;0;A03AX;2;is part of;is parent of;;
A03AX10;Isomethepten;;;1;0;0;A03AX;2;is part of;is parent of;;
A03AX11;Caroverin;;;1;0;0;A03AX;2;is part of;is parent of;;
A03AX12;Phloroglucinol;;;1;0;0;A03AX;2;is part of;is parent of;;
A03AX13;Silikone;;;1;0;0;A03AX;2;is part of;is parent of;;0,5 g O
A03AX15;Cholinsalze;;;1;0;0;A03AX;2;is part of;is parent of;;
A03AX20;Kombinationen;;;1;0;0;A03AX;2;is part of;is parent of;;
A03AX30;Trimethyldiphenylpropylamin;;;1;0;0;A03AX;2;is part of;is parent of;;50 mg O,P
A03AX31;Pramiverin;;;1;0;0;A03AX;2;is part of;is parent of;;
A03AX32;Denaverin;;;1;0;0;A03AX;2;is part of;is parent of;;
A03AX33;Dipiproverin;;;1;0;0;A03AX;2;is part of;is parent of;;
A03AX50;Andere Mittel bei funktionellen gastrointestinalen Störungen, Kombinationen;;;1;0;0;A03AX;2;is part of;is parent of;;
A03AX58;Alverin, Kombinationen;;;1;0;0;A03AX;2;is part of;is parent of;;
A03AX63;Silikone, Kombinationen;;;1;0;0;A03AX;2;is part of;is parent of;;
A03B;BELLADONNA UND DERIVATE, REIN;;;1;0;0;A03;2;is part of;is parent of;;
A03BA;Belladonna-Alkaloide, tertiäre Amine;;;1;0;0;A03B;2;is part of;is parent of;;
A03BA01;Atropin;;;1;0;0;A03BA;2;is part of;is parent of;;1,5 mg O,P
A03BA03;Hyoscyamin;;;1;0;0;A03BA;2;is part of;is parent of;;1,2 mg O
A03BA04;Belladonna-Gesamtalkaloide;;;1;0;0;A03BA;2;is part of;is parent of;;1 mg O
A03BA20;Kombinationen;;;1;0;0;A03BA;2;is part of;is parent of;;
