code;term;term_abbrevation;description;is_preferred;is_axis;is_mainclass;relation;association_kind;association_type;association_type_reverse;crossmapping_csv_id;translation_en;metadata_code
T-112f;43,5 Mikrometer;;;1;0;0;T-112;2;is part of;is parent of;;43.5 microns;112f
T-112g;50 Mikrometer;;;1;0;0;T-112;2;is part of;is parent of;;50 microns;112g
T-112h;100 Mikrometer;;;1;0;0;T-112;2;is part of;is parent of;;100 microns;112h
T-112i;200 Mikrometer;;;1;0;0;T-112;2;is part of;is parent of;;200 microns;112i
T-113;Röntgenstereometrie;;;1;0;0;T-11;2;is part of;is parent of;;x-ray stereometry;113
T-1130;nicht näher spezifiziert;;;1;0;0;T-113;2;is part of;is parent of;;unspecified;1130
T-114;Röntgenstereographie;;;1;0;0;T-11;2;is part of;is parent of;;x-ray stereography;114
T-1140;nicht näher spezifiziert;;;1;0;0;T-114;2;is part of;is parent of;;unspecified;1140
T-1141;Engwinkelradiographie;;;1;0;0;T-114;2;is part of;is parent of;;narrow beam radiography;1141
T-115;Tomosynthese;;;1;0;0;T-11;2;is part of;is parent of;;tomosynthesis;115
T-1150;nicht näher spezifiziert;;;1;0;0;T-115;2;is part of;is parent of;;unspecified;1150
T-116;Xeroradiographie;;;1;0;0;T-11;2;is part of;is parent of;;xeroradiography;116
T-1160;nicht näher spezifiziert;;;1;0;0;T-116;2;is part of;is parent of;;unspecified;1160
T-117;Computed Radiography (CR);;;1;0;0;T-11;2;is part of;is parent of;;computed radiography (CR);117
T-1170;nicht näher spezifiziert;;;1;0;0;T-117;2;is part of;is parent of;;unspecified;1170
T-12;Durchleuchtung;;;1;0;0;T-1;2;is part of;is parent of;;fluoroscopy;12
T-120;nicht näher spezifiziert;;;1;0;0;T-12;2;is part of;is parent of;;unspecified;120
T-121;digital;;;1;0;0;T-12;2;is part of;is parent of;;digital;121
T-1210;nicht näher spezifiziert;;;1;0;0;T-121;2;is part of;is parent of;;unspecified;1210
T-122;analog;;;1;0;0;T-12;2;is part of;is parent of;;analog;122
T-1220;nicht näher spezifiziert;;;1;0;0;T-122;2;is part of;is parent of;;unspecified;1220
T-13;Angiographie;;;1;0;0;T-1;2;is part of;is parent of;;angiography;13
T-130;nicht näher spezifiziert;;;1;0;0;T-13;2;is part of;is parent of;;unspecified;130
T-131;digital;;;1;0;0;T-13;2;is part of;is parent of;;digital;131
T-1310;nicht näher spezifiziert;;;1;0;0;T-131;2;is part of;is parent of;;unspecified;1310
T-1311;Subtraktion (DSA);;;1;0;0;T-131;2;is part of;is parent of;;subtraction (DSA);1311
T-1312;Rotationsangiographie;;;1;0;0;T-131;2;is part of;is parent of;;rotation angiography;1312
T-1313;Pfadfindertechnik;;;1;0;0;T-131;2;is part of;is parent of;;pathfinder technique;1313
T-132;analog;;;1;0;0;T-13;2;is part of;is parent of;;analog;132
T-1320;nicht näher spezifiziert;;;1;0;0;T-132;2;is part of;is parent of;;unspecified;1320
T-1321;Photosubtraktion;;;1;0;0;T-132;2;is part of;is parent of;;photo subtraction;1321
T-14;Computertomographie (CT);;;1;0;0;T-1;2;is part of;is parent of;;computed tomography (CT);14
T-140;nicht näher spezifiziert;;;1;0;0;T-14;2;is part of;is parent of;;unspecified;140
T-141;konventionell;;;1;0;0;T-14;2;is part of;is parent of;;conventional CT;141
T-1410;nicht näher spezifiziert;;;1;0;0;T-141;2;is part of;is parent of;;unspecified;1410
T-1411;Low Dose;;;1;0;0;T-141;2;is part of;is parent of;;low dose;1411
T-1412;High Resolution;;;1;0;0;T-141;2;is part of;is parent of;;high resolution;1412
T-1413;Bolustracking;;;1;0;0;T-141;2;is part of;is parent of;;bolus tracking;1413
T-142;quantitative CT;;;1;0;0;T-14;2;is part of;is parent of;;quantitative CT;142
T-1420;nicht näher spezifiziert;;;1;0;0;T-142;2;is part of;is parent of;;unspecified;1420
T-1421;Dual Energy;;;1;0;0;T-142;2;is part of;is parent of;;dual energy;1421
T-143;multiplanare Reformatierung;;;1;0;0;T-14;2;is part of;is parent of;;multiplanar reformat;143
T-1430;nicht näher spezifiziert;;;1;0;0;T-143;2;is part of;is parent of;;unspecified;1430
T-144;interventionelle CT;;;1;0;0;T-14;2;is part of;is parent of;;interventional CT;144
T-1440;nicht näher spezifiziert;;;1;0;0;T-144;2;is part of;is parent of;;unspecified;1440
T-15;DEXA (quantitative Radiographie);;;1;0;0;T-1;2;is part of;is parent of;;DEXA (quantitative radiography);15
T-150;nicht näher spezifiziert;;;1;0;0;T-15;2;is part of;is parent of;;unspecified;150
T-151;digital;;;1;0;0;T-15;2;is part of;is parent of;;digital;151
T-1510;nicht näher spezifiziert;;;1;0;0;T-151;2;is part of;is parent of;;unspecified;1510
T-1511;Dual Energy;;;1;0;0;T-151;2;is part of;is parent of;;dual energy;1511
T-16;Radiotherapie (Portalbilder);;;1;0;0;T-1;2;is part of;is parent of;;radiotherapy;16
T-160;nicht näher spezifiziert;;;1;0;0;T-16;2;is part of;is parent of;;unspecified;160
T-161;digital;;;1;0;0;T-16;2;is part of;is parent of;;digital;161
T-1610;nicht näher spezifiziert;;;1;0;0;T-161;2;is part of;is parent of;;unspecified;1610
T-162;analog;;;1;0;0;T-16;2;is part of;is parent of;;analog;162
T-1620;nicht näher spezifiziert;;;1;0;0;T-162;2;is part of;is parent of;;unspecified;1620
T-2;Sonographie;;;1;0;0;T;2;is part of;is parent of;;ultrasound imaging;2
T-20;nicht näher spezifiziert;;;1;0;0;T-2;2;is part of;is parent of;;unspecified;20
T-21;A-Mode;;;1;0;0;T-2;2;is part of;is parent of;;A-mode;21
T-210;nicht näher spezifiziert;;;1;0;0;T-21;2;is part of;is parent of;;unspecified;210
T-211;3,5 MHz;;;1;0;0;T-21;2;is part of;is parent of;;3.5 MHz;211
T-2110;nicht näher spezifiziert;;;1;0;0;T-211;2;is part of;is parent of;;unspecified;2110
T-212;5,0 MHz;;;1;0;0;T-21;2;is part of;is parent of;;5.0 MHz;212
T-2120;nicht näher spezifiziert;;;1;0;0;T-212;2;is part of;is parent of;;unspecified;2120
T-213;7,5 MHz;;;1;0;0;T-21;2;is part of;is parent of;;7.5 MHz;213
T-2130;nicht näher spezifiziert;;;1;0;0;T-213;2;is part of;is parent of;;unspecified;2130
T-214;10 MHz;;;1;0;0;T-21;2;is part of;is parent of;;10 MHz;214
T-2140;nicht näher spezifiziert;;;1;0;0;T-214;2;is part of;is parent of;;unspecified;2140
T-215;variable Frequenz;;;1;0;0;T-21;2;is part of;is parent of;;variable frequency;215
T-2150;nicht näher spezifiziert;;;1;0;0;T-215;2;is part of;is parent of;;unspecified;2150
T-22;B-Mode;;;1;0;0;T-2;2;is part of;is parent of;;B-mode;22
T-220;nicht näher spezifiziert;;;1;0;0;T-22;2;is part of;is parent of;;unspecified;220
T-221;Sektorbild;;;1;0;0;T-22;2;is part of;is parent of;;sector scan;221
T-2210;nicht näher spezifiziert;;;1;0;0;T-221;2;is part of;is parent of;;unspecified;2210
T-2211;3,5 MHz;;;1;0;0;T-221;2;is part of;is parent of;;3.5 MHz;2211
T-2212;5,0 MHz;;;1;0;0;T-221;2;is part of;is parent of;;5.0 MHz;2212
T-2213;7,5 MHz;;;1;0;0;T-221;2;is part of;is parent of;;7.5 MHz;2213
T-2214;10 MHz;;;1;0;0;T-221;2;is part of;is parent of;;10 MHz;2214
T-2215;variable Frequenz;;;1;0;0;T-221;2;is part of;is parent of;;variable frequency;2215
T-222;Linearbild;;;1;0;0;T-22;2;is part of;is parent of;;linear scan;222
T-2220;nicht näher spezifiziert;;;1;0;0;T-222;2;is part of;is parent of;;unspecified;2220
T-2221;3,5 MHz;;;1;0;0;T-222;2;is part of;is parent of;;3.5 MHz;2221
T-2222;5,0 MHz;;;1;0;0;T-222;2;is part of;is parent of;;5.0 MHz;2222
T-2223;7,5 MHz;;;1;0;0;T-222;2;is part of;is parent of;;7.5 MHz;2223
T-2224;10 MHz;;;1;0;0;T-222;2;is part of;is parent of;;10 MHz;2224
T-2225;variable Frequenz;;;1;0;0;T-222;2;is part of;is parent of;;variable frequency;2225
T-23;M-Mode;;;1;0;0;T-2;2;is part of;is parent of;;M-mode;23
T-230;nicht näher spezifiziert;;;1;0;0;T-23;2;is part of;is parent of;;unspecified;230
T-231;3,5 MHz;;;1;0;0;T-23;2;is part of;is parent of;;3.5 MHz;231
T-2310;nicht näher spezifiziert;;;1;0;0;T-231;2;is part of;is parent of;;unspecified;2310
T-232;5,0 MHz;;;1;0;0;T-23;2;is part of;is parent of;;5.0 MHz;232
T-2320;nicht näher spezifiziert;;;1;0;0;T-232;2;is part of;is parent of;;unspecified;2320
T-233;7,5 MHz;;;1;0;0;T-23;2;is part of;is parent of;;7.5 MHz;233
T-2330;nicht näher spezifiziert;;;1;0;0;T-233;2;is part of;is parent of;;unspecified;2330
T-234;10 MHz;;;1;0;0;T-23;2;is part of;is parent of;;10 MHz;234
T-2340;nicht näher spezifiziert;;;1;0;0;T-234;2;is part of;is parent of;;unspecified;2340
T-235;variable Frequenz;;;1;0;0;T-23;2;is part of;is parent of;;variable frequency;235
T-2350;nicht näher spezifiziert;;;1;0;0;T-235;2;is part of;is parent of;;unspecified;2350
T-24;Compound-Mode;;;1;0;0;T-2;2;is part of;is parent of;;compound mode;24
T-240;nicht näher spezifiziert;;;1;0;0;T-24;2;is part of;is parent of;;unspecified;240
T-241;3,5 MHz;;;1;0;0;T-24;2;is part of;is parent of;;3.5 MHz;241
T-2410;nicht näher spezifiziert;;;1;0;0;T-241;2;is part of;is parent of;;unspecified;2410
T-242;5,0 MHz;;;1;0;0;T-24;2;is part of;is parent of;;5.0 MHz;242
T-2420;nicht näher spezifiziert;;;1;0;0;T-242;2;is part of;is parent of;;unspecified;2420
T-243;7,5 MHz;;;1;0;0;T-24;2;is part of;is parent of;;7.5 MHz;243
T-2430;nicht näher spezifiziert;;;1;0;0;T-243;2;is part of;is parent of;;unspecified;2430
T-244;10 MHz;;;1;0;0;T-24;2;is part of;is parent of;;10 MHz;244
T-2440;nicht näher spezifiziert;;;1;0;0;T-244;2;is part of;is parent of;;unspecified;2440
T-245;variable Frequenz;;;1;0;0;T-24;2;is part of;is parent of;;variable frequency;245
T-2450;nicht näher spezifiziert;;;1;0;0;T-245;2;is part of;is parent of;;unspecified;2450
T-25;SieScape-Mode;;;1;0;0;T-2;2;is part of;is parent of;;SieScape mode;25
T-250;nicht näher spezifiziert;;;1;0;0;T-25;2;is part of;is parent of;;unspecified;250
T-251;3,5 MHz;;;1;0;0;T-25;2;is part of;is parent of;;3.5 MHz;251
T-2510;nicht näher spezifiziert;;;1;0;0;T-251;2;is part of;is parent of;;unspecified;2510
T-252;5,0 MHz;;;1;0;0;T-25;2;is part of;is parent of;;5.0 MHz;252
T-2520;nicht näher spezifiziert;;;1;0;0;T-252;2;is part of;is parent of;;unspecified;2520
T-253;7,5 MHz;;;1;0;0;T-25;2;is part of;is parent of;;7.5 MHz;253
T-2530;nicht näher spezifiziert;;;1;0;0;T-253;2;is part of;is parent of;;unspecified;2530
T-254;10 MHz;;;1;0;0;T-25;2;is part of;is parent of;;10 MHz;254
T-2540;nicht näher spezifiziert;;;1;0;0;T-254;2;is part of;is parent of;;unspecified;2540
T-255;variable Frequenz;;;1;0;0;T-25;2;is part of;is parent of;;variable frequency;255
T-2550;nicht näher spezifiziert;;;1;0;0;T-255;2;is part of;is parent of;;unspecified;2550
T-26;Duplex-Mode;;;1;0;0;T-2;2;is part of;is parent of;;duplex mode;26
T-260;nicht näher spezifiziert;;;1;0;0;T-26;2;is part of;is parent of;;unspecified;260
T-261;3,5 MHz;;;1;0;0;T-26;2;is part of;is parent of;;3.5 MHz;261
T-2610;nicht näher spezifiziert;;;1;0;0;T-261;2;is part of;is parent of;;unspecified;2610
T-262;5,0 MHz;;;1;0;0;T-26;2;is part of;is parent of;;5.0 MHz;262
T-2620;nicht näher spezifiziert;;;1;0;0;T-262;2;is part of;is parent of;;unspecified;2620
T-263;7,5 MHz;;;1;0;0;T-26;2;is part of;is parent of;;7.5 MHz;263
T-2630;nicht näher spezifiziert;;;1;0;0;T-263;2;is part of;is parent of;;unspecified;2630
T-264;10 MHz;;;1;0;0;T-26;2;is part of;is parent of;;10 MHz;264
T-2640;nicht näher spezifiziert;;;1;0;0;T-264;2;is part of;is parent of;;unspecified;2640
T-265;variable Frequenz;;;1;0;0;T-26;2;is part of;is parent of;;variable frequency;265
T-2650;nicht näher spezifiziert;;;1;0;0;T-265;2;is part of;is parent of;;unspecified;2650
T-27;Doppler-Mode;;;1;0;0;T-2;2;is part of;is parent of;;Doppler mode;27
T-270;nicht näher spezifiziert;;;1;0;0;T-27;2;is part of;is parent of;;unspecified;270
T-271;3,5 MHz;;;1;0;0;T-27;2;is part of;is parent of;;3.5 MHz;271
T-2710;nicht näher spezifiziert;;;1;0;0;T-271;2;is part of;is parent of;;unspecified;2710
T-272;5,0 MHz;;;1;0;0;T-27;2;is part of;is parent of;;5.0 MHz;272
T-2720;nicht näher spezifiziert;;;1;0;0;T-272;2;is part of;is parent of;;unspecified;2720
T-273;7,5 MHz;;;1;0;0;T-27;2;is part of;is parent of;;7.5 MHz;273
T-2730;nicht näher spezifiziert;;;1;0;0;T-273;2;is part of;is parent of;;unspecified;2730
T-274;10 MHz;;;1;0;0;T-27;2;is part of;is parent of;;10 MHz;274
T-2740;nicht näher spezifiziert;;;1;0;0;T-274;2;is part of;is parent of;;unspecified;2740
T-275;variable Frequenz;;;1;0;0;T-27;2;is part of;is parent of;;variable frequency;275
T-2750;nicht näher spezifiziert;;;1;0;0;T-275;2;is part of;is parent of;;unspecified;2750
T-28;3D-Darstellung;;;1;0;0;T-2;2;is part of;is parent of;;3D imaging;28
T-280;nicht näher spezifiziert;;;1;0;0;T-28;2;is part of;is parent of;;unspecified;280
T-281;3,5 MHz;;;1;0;0;T-28;2;is part of;is parent of;;3.5 MHz;281
T-2810;nicht näher spezifiziert;;;1;0;0;T-281;2;is part of;is parent of;;unspecified;2810
T-282;5,0 MHz;;;1;0;0;T-28;2;is part of;is parent of;;5.0 MHz;282
T-2820;nicht näher spezifiziert;;;1;0;0;T-282;2;is part of;is parent of;;unspecified;2820
T-283;7,5 MHz;;;1;0;0;T-28;2;is part of;is parent of;;7.5 MHz;283
T-2830;nicht näher spezifiziert;;;1;0;0;T-283;2;is part of;is parent of;;unspecified;2830
T-284;10 MHz;;;1;0;0;T-28;2;is part of;is parent of;;10 MHz;284
T-2840;nicht näher spezifiziert;;;1;0;0;T-284;2;is part of;is parent of;;unspecified;2840
T-285;variable Frequenz;;;1;0;0;T-28;2;is part of;is parent of;;variable frequency;285
T-2850;nicht näher spezifiziert;;;1;0;0;T-285;2;is part of;is parent of;;unspecified;2850
T-3;Kernspinbildgebung;;;1;0;0;T;2;is part of;is parent of;;magnetic resonance measurements;3
T-30;nicht näher spezifiziert;;;1;0;0;T-3;2;is part of;is parent of;;unspecified;30
T-31;Kernspintomographie (MR);;;1;0;0;T-3;2;is part of;is parent of;;magnetic resonance imaging (MRI);31
T-310;nicht näher spezifiziert;;;1;0;0;T-31;2;is part of;is parent of;;unspecified;310
T-311;T1-gewichtet;;;1;0;0;T-31;2;is part of;is parent of;;T1-weigthed;311
T-3110;nicht näher spezifiziert;;;1;0;0;T-311;2;is part of;is parent of;;unspecified;3110
T-3111;Endotechnik(-spule);;;1;0;0;T-311;2;is part of;is parent of;;endo coil;3111
T-3112;Body-Spule;;;1;0;0;T-311;2;is part of;is parent of;;body;3112
T-3113;Body Array;;;1;0;0;T-311;2;is part of;is parent of;;body array;3113
T-3114;Kopfspule;;;1;0;0;T-311;2;is part of;is parent of;;head coil;3114
T-3115;Halsspule;;;1;0;0;T-311;2;is part of;is parent of;;neck coil;3115
T-3116;Wirbelsäulenspule;;;1;0;0;T-311;2;is part of;is parent of;;spine coil;3116
T-3117;Loop Coil;;;1;0;0;T-311;2;is part of;is parent of;;loop coil;3117
T-3118;Schulterspule;;;1;0;0;T-311;2;is part of;is parent of;;shoulder coil;3118
T-3119;Knie-/Extrimitätenspule;;;1;0;0;T-311;2;is part of;is parent of;;knee coil;3119
T-311a;Handoberflächenspule;;;1;0;0;T-311;2;is part of;is parent of;;hand / small FOV;311a
T-311b;Mammaspule;;;1;0;0;T-311;2;is part of;is parent of;;mamma coil;311b
T-311c;Flex, groß;;;1;0;0;T-311;2;is part of;is parent of;;flexible coil, large;311c
T-311d;Flex, klein;;;1;0;0;T-311;2;is part of;is parent of;;flexible coil, small;311d
T-311e;Endorektalspule;;;1;0;0;T-311;2;is part of;is parent of;;endorectal coil;311e
T-311f;Wrap-Around-Spule;;;1;0;0;T-311;2;is part of;is parent of;;wrap around coil;311f
T-312;T2-gewichtet;;;1;0;0;T-31;2;is part of;is parent of;;T2-weighted;312
T-3120;nicht näher spezifiziert;;;1;0;0;T-312;2;is part of;is parent of;;unspecified;3120
T-3121;Endotechnik(-spule);;;1;0;0;T-312;2;is part of;is parent of;;endo coil;3121
T-3122;Body-Spule;;;1;0;0;T-312;2;is part of;is parent of;;body;3122
T-3123;Body Array;;;1;0;0;T-312;2;is part of;is parent of;;body array;3123
T-3124;Kopfspule;;;1;0;0;T-312;2;is part of;is parent of;;head coil;3124
T-3125;Halsspule;;;1;0;0;T-312;2;is part of;is parent of;;neck coil;3125
T-3126;Wirbelsäulenspule;;;1;0;0;T-312;2;is part of;is parent of;;spine coil;3126
T-3127;Loop Coil;;;1;0;0;T-312;2;is part of;is parent of;;loop coil;3127
T-3128;Schulterspule;;;1;0;0;T-312;2;is part of;is parent of;;shoulder coil;3128
T-3129;Knie-/Extrimitätenspule;;;1;0;0;T-312;2;is part of;is parent of;;knee coil;3129
T-312a;Hand Oberflächenspule;;;1;0;0;T-312;2;is part of;is parent of;;hand / small FOV;312a
T-312b;Mammaspule;;;1;0;0;T-312;2;is part of;is parent of;;mamma coil;312b
T-312c;Flex, groß;;;1;0;0;T-312;2;is part of;is parent of;;flexible coil, large;312c
T-312d;Flex, klein;;;1;0;0;T-312;2;is part of;is parent of;;flexible coil, small;312d
T-312e;Endorektalspule;;;1;0;0;T-312;2;is part of;is parent of;;endorectal coil;312e
T-312f;Wrap-Around-Spule;;;1;0;0;T-312;2;is part of;is parent of;;wrap around coil;312f
T-313;Protonen-gewichtet;;;1;0;0;T-31;2;is part of;is parent of;;proton-weighted;313
T-3130;nicht näher spezifiziert;;;1;0;0;T-313;2;is part of;is parent of;;unspecified;3130
T-3131;Endotechnik(-spule);;;1;0;0;T-313;2;is part of;is parent of;;endo coil;3131
T-3132;Body-Spule;;;1;0;0;T-313;2;is part of;is parent of;;body;3132
T-3133;Body Array;;;1;0;0;T-313;2;is part of;is parent of;;body array;3133
T-3134;Kopfspule;;;1;0;0;T-313;2;is part of;is parent of;;head coil;3134
T-3135;Halsspule;;;1;0;0;T-313;2;is part of;is parent of;;neck coil;3135
T-3136;Wirbelsäulenspule;;;1;0;0;T-313;2;is part of;is parent of;;spine coil;3136
T-3137;Loop Coil;;;1;0;0;T-313;2;is part of;is parent of;;loop coil;3137
T-3138;Schulterspule;;;1;0;0;T-313;2;is part of;is parent of;;shoulder coil;3138
T-3139;Knie-/Extrimitätenspule;;;1;0;0;T-313;2;is part of;is parent of;;knee coil;3139
T-313a;Hand Oberflächenspule;;;1;0;0;T-313;2;is part of;is parent of;;hand / small FOV;313a
T-313b;Mammaspule;;;1;0;0;T-313;2;is part of;is parent of;;mamma coil;313b
T-313c;Flex, groß;;;1;0;0;T-313;2;is part of;is parent of;;flexible coil, large;313c
T-313d;Flex, klein;;;1;0;0;T-313;2;is part of;is parent of;;flexible coil, small;313d
T-313e;Endorektalspule;;;1;0;0;T-313;2;is part of;is parent of;;endorectal coil;313e
T-313f;Wrap-Around-Spule;;;1;0;0;T-313;2;is part of;is parent of;;wrap around coil;313f
T-314;Fettsupression;;;1;0;0;T-31;2;is part of;is parent of;;fat suppression;314
T-3140;nicht näher spezifiziert;;;1;0;0;T-314;2;is part of;is parent of;;unspecified;3140
T-3141;Endotechnik(-spule);;;1;0;0;T-314;2;is part of;is parent of;;endo coil;3141
T-3142;Body-Spule;;;1;0;0;T-314;2;is part of;is parent of;;body;3142
T-3143;Body Array;;;1;0;0;T-314;2;is part of;is parent of;;body array;3143
T-3144;Kopfspule;;;1;0;0;T-314;2;is part of;is parent of;;head coil;3144
T-3145;Halsspule;;;1;0;0;T-314;2;is part of;is parent of;;neck coil;3145
T-3146;Wirbelsäulenspule;;;1;0;0;T-314;2;is part of;is parent of;;spine coil;3146
T-3147;Loop Coil;;;1;0;0;T-314;2;is part of;is parent of;;loop coil;3147
T-3148;Schulterspule;;;1;0;0;T-314;2;is part of;is parent of;;shoulder coil;3148
T-3149;Knie-/Extrimitätenspule;;;1;0;0;T-314;2;is part of;is parent of;;knee coil;3149
T-314a;Hand Oberflächenspule;;;1;0;0;T-314;2;is part of;is parent of;;hand / small FOV;314a
T-314b;Mammaspule;;;1;0;0;T-314;2;is part of;is parent of;;mamma coil;314b
T-314c;Flex, groß;;;1;0;0;T-314;2;is part of;is parent of;;flexible coil, large;314c
T-314d;Flex, klein;;;1;0;0;T-314;2;is part of;is parent of;;flexible coil, small;314d
T-314e;Endorektalspule;;;1;0;0;T-314;2;is part of;is parent of;;endorectal coil;314e
T-314f;Wrap-Around-Spule;;;1;0;0;T-314;2;is part of;is parent of;;wrap around coil;314f
T-315;Cine-Lolo;;;1;0;0;T-31;2;is part of;is parent of;;Cine-Lolo;315
T-3150;nicht näher spezifiziert;;;1;0;0;T-315;2;is part of;is parent of;;unspecified;3150
T-3151;Endotechnik(-spule);;;1;0;0;T-315;2;is part of;is parent of;;endo coil;3151
T-3152;Body-Spule;;;1;0;0;T-315;2;is part of;is parent of;;body;3152
T-3153;Body Array;;;1;0;0;T-315;2;is part of;is parent of;;body array;3153
T-3154;Kopfspule;;;1;0;0;T-315;2;is part of;is parent of;;head coil;3154
T-3155;Halsspule;;;1;0;0;T-315;2;is part of;is parent of;;neck coil;3155
T-3156;Wirbelsäulenspule;;;1;0;0;T-315;2;is part of;is parent of;;spine coil;3156
T-3157;Loop Coil;;;1;0;0;T-315;2;is part of;is parent of;;loop coil;3157
T-3158;Schulterspule;;;1;0;0;T-315;2;is part of;is parent of;;shoulder coil;3158
T-3159;Knie-/Extrimitätenspule;;;1;0;0;T-315;2;is part of;is parent of;;knee coil;3159
T-315a;Hand Oberflächenspule;;;1;0;0;T-315;2;is part of;is parent of;;hand / small FOV;315a
T-315b;Mammaspule;;;1;0;0;T-315;2;is part of;is parent of;;mamma coil;315b
T-315c;Flex, groß;;;1;0;0;T-315;2;is part of;is parent of;;flexible coil, large;315c
T-315d;Flex, klein;;;1;0;0;T-315;2;is part of;is parent of;;flexible coil, small;315d
T-315e;Endorektalspule;;;1;0;0;T-315;2;is part of;is parent of;;endorectal coil;315e
T-315f;Wrap-Around-Spule;;;1;0;0;T-315;2;is part of;is parent of;;wrap around coil;315f
T-316;Inversion Recovery;;;1;0;0;T-31;2;is part of;is parent of;;inversion recovery;316
T-3160;nicht näher spezifiziert;;;1;0;0;T-316;2;is part of;is parent of;;unspecified;3160
T-3161;Endotechnik(-spule);;;1;0;0;T-316;2;is part of;is parent of;;endo coil;3161
T-3162;Body-Spule;;;1;0;0;T-316;2;is part of;is parent of;;body;3162
T-3163;Body Array;;;1;0;0;T-316;2;is part of;is parent of;;body array;3163
T-3164;Kopfspule;;;1;0;0;T-316;2;is part of;is parent of;;head coil;3164
T-3165;Halsspule;;;1;0;0;T-316;2;is part of;is parent of;;neck coil;3165
T-3166;Wirbelsäulenspule;;;1;0;0;T-316;2;is part of;is parent of;;spine coil;3166
